ENTRY_Z,FEATURE,MIN_OBS,MIN_STD,NORM,WEIGHTED,WINDOW,accuracy,ap,auroc,base_rate,f1,threshold
3.0,surprisal,5,0.5,none,False,5,0.6896551724137931,0.33224705316862224,0.7029487333895379,0.20689655172413793,0.44660194174757284,2.0
0.5,surprisal,3,0.25,len,False,10,0.6424682395644283,0.32281695833072205,0.6926612870849893,0.20689655172413793,0.43874643874643876,0.16981132075471697
2.5,surprisal,5,0.5,none,False,20,0.6678765880217786,0.30695569870254696,0.6825544983740817,0.20689655172413793,0.4227129337539432,2.0
3.0,surprisal,3,0.5,none,False,20,0.542649727767695,0.29645203067398884,0.6839997591232084,0.20689655172413793,0.42727272727272725,1.0
2.5,surprisal,2,1.0,len,False,10,0.6569872958257713,0.2734829106189475,0.644706732506323,0.20689655172413793,0.4489795918367347,0.016666666666666666
0.5,entropy,3,1.0,sqrt,True,5,0.6896551724137931,0.4345783322765077,0.7539242843951985,0.20689655172413793,0.5043478260869565,0.3137032189159827
3.0,entropy,3,1.0,none,True,5,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
2.5,entropy,3,0.25,none,False,10,0.6098003629764065,0.29230691680014287,0.6731000843068771,0.20689655172413793,0.4173441734417344,2.0
0.5,surprisal,2,1.0,len,False,15,0.7459165154264973,0.419923620487802,0.7121923802641615,0.20689655172413793,0.47368421052631576,0.16216216216216217
2.0,entropy,5,0.5,sqrt,True,10,0.6333938294010889,0.38194932090526007,0.7084086073306837,0.20689655172413793,0.45698924731182794,0.05962260962705631
2.5,entropy,5,1.0,sqrt,False,20,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
2.5,surprisal,5,0.25,none,False,10,0.6243194192377496,0.31744389755473734,0.6918583644465855,0.20689655172413793,0.4450402144772118,2.0
0.5,surprisal,2,0.25,none,True,5,0.6950998185117967,0.35202949441337256,0.6979204303665342,0.20689655172413793,0.45454545454545453,21.021422577119118
1.5,entropy,5,0.25,sqrt,True,15,0.6370235934664247,0.3417264458808294,0.6609257698020796,0.20689655172413793,0.40828402366863903,0.7719433762101616
2.0,entropy,2,1.0,none,True,10,0.20689655172413793,0.12239587173738735,0.5073668152073548,0.20689655172413793,0.34285714285714286,0.0
3.0,entropy,2,0.5,none,True,20,0.778584392014519,0.27893449889260974,0.624372716688747,0.20689655172413793,0.4019607843137255,0.054852239384197254
2.0,entropy,3,0.5,none,False,15,0.6878402903811253,0.30702944534814436,0.6983720743506363,0.20689655172413793,0.44155844155844154,2.0
0.5,surprisal,2,0.25,len,False,20,0.6116152450090744,0.33530711703794885,0.6957123931109238,0.20689655172413793,0.44559585492227977,0.16083916083916083
1.0,surprisal,5,1.0,none,False,10,0.6842105263157895,0.36779765516959173,0.7121923802641615,0.20689655172413793,0.45625,3.0
0.5,surprisal,3,1.0,none,False,20,0.662431941923775,0.392158887883155,0.7114898229555582,0.20689655172413793,0.45930232558139533,4.0
2.0,surprisal,2,0.25,len,True,5,0.52994555353902,0.2894268742910039,0.6477478019992774,0.20689655172413793,0.41002277904328016,0.2267092023015515
0.5,surprisal,5,0.25,len,False,5,0.6678765880217786,0.3917586221745791,0.6973282749207114,0.20689655172413793,0.42990654205607476,0.18181818181818182
1.5,entropy,3,1.0,sqrt,False,5,0.7568058076225045,0.33262332301792835,0.6581255771006463,0.20689655172413793,0.4462809917355372,0.07930515857181442
1.5,entropy,2,1.0,len,False,10,0.7586206896551724,0.2827062741125727,0.6432413986912361,0.20689655172413793,0.4340425531914894,0.006289308176100629
3.0,entropy,5,0.25,none,True,10,0.6987295825771325,0.31116299738899994,0.6461519932554498,0.20689655172413793,0.40714285714285714,1.508176237721515
3.0,entropy,5,0.25,none,False,10,0.7241379310344828,0.26089818274630866,0.6524448994339396,0.20689655172413793,0.4015748031496063,2.0
0.5,entropy,2,0.5,none,False,10,0.676950998185118,0.38557266315763833,0.7056084146292505,0.20689655172413793,0.4573170731707317,8.0
2.5,entropy,2,0.25,sqrt,True,15,0.44101633393829404,0.2929446668529563,0.6136536994660564,0.20689655172413793,0.40310077519379844,0.003632646874588428
1.0,entropy,2,0.5,len,False,10,0.6987295825771325,0.3629295125976557,0.7255208960616645,0.20689655172413793,0.4645161290322581,0.1702127659574468
1.5,entropy,2,0.25,none,False,15,0.6261343012704175,0.31540321418372674,0.6926913966839295,0.20689655172413793,0.44021739130434784,4.0
1.5,surprisal,2,0.25,len,False,20,0.5281306715063521,0.2670030470723431,0.6425087317836926,0.20689655172413793,0.4063926940639269,0.07894736842105263
0.5,entropy,2,0.25,none,True,20,0.6860254083484574,0.3662882090494388,0.70340037737364,0.20689655172413793,0.45768025078369906,11.790315801589347
3.0,entropy,3,0.25,none,False,5,0.662431941923775,0.28682302349476396,0.6634549761130515,0.20689655172413793,0.422360248447205,2.0
0.5,entropy,3,1.0,none,True,20,0.6823956442831216,0.4233154152787902,0.7426833674575455,0.20689655172413793,0.5042492917847026,1.477923941633382
2.0,surprisal,3,0.5,sqrt,False,5,0.6569872958257713,0.3861073200194224,0.6899714962463367,0.20689655172413793,0.42900302114803623,0.41602514716892186
2.0,surprisal,2,0.25,none,False,20,0.6515426497277677,0.32392917209594435,0.6825645349070617,0.20689655172413793,0.42857142857142855,3.0
2.5,entropy,3,1.0,len,True,10,0.20689655172413793,0.11233396656004316,0.5,0.20689655172413793,0.34285714285714286,0.0
1.5,surprisal,3,0.5,sqrt,False,15,0.691470054446461,0.39656085891551035,0.7134469468866674,0.20689655172413793,0.4585987261146497,0.50709255283711
0.5,surprisal,2,0.25,none,False,5,0.6842105263157895,0.37281470048532683,0.6997270063029427,0.20689655172413793,0.4423076923076923,7.0
1.5,entropy,2,0.25,none,False,20,0.5716878402903811,0.32198952076560144,0.6948592878076197,0.20689655172413793,0.44339622641509435,3.0
2.5,entropy,3,0.5,sqrt,True,10,0.6678765880217786,0.34208846345795596,0.6847826086956522,0.20689655172413793,0.4537313432835821,0.0029071851223714394
