ENTRY_Z,FEATURE,MIN_STD,W,WINDOW,accuracy,ap,auroc,base_rate,f1,threshold
1.0,entropy,0.5,0.0,5,0.7150635208711433,0.46235346714169884,0.7649845437392108,0.20689655172413793,0.5285285285285285,0.38235665501225585
1.0,entropy,0.5,0.0,10,0.7150635208711433,0.46235346714169884,0.7649845437392108,0.20689655172413793,0.5285285285285285,0.38235665501225585
1.0,entropy,0.5,0.02,5,0.7531760435571688,0.4619696645930368,0.7662491468946967,0.20689655172413793,0.5244755244755245,0.45624808564986874
1.0,entropy,0.5,0.02,10,0.7549909255898367,0.46337972070247724,0.7662692199606568,0.20689655172413793,0.5229681978798587,0.4591201448688821
1.0,entropy,0.5,0.05,5,0.7731397459165155,0.4644645702333102,0.767152434862901,0.20689655172413793,0.5247148288973384,0.5162173463660922
1.0,entropy,0.5,0.05,10,0.7695099818511797,0.4665549381483955,0.7683768918864667,0.20689655172413793,0.5278810408921933,0.50758345078156
1.0,entropy,0.5,0.1,5,0.7332123411978222,0.4657510387661096,0.7689389377333494,0.20689655172413793,0.5273311897106109,0.4823835933539635
1.0,entropy,0.5,0.1,10,0.7749546279491834,0.46855825371994936,0.7700831024930748,0.20689655172413793,0.5267175572519084,0.5577560244048959
1.0,entropy,0.5,0.2,5,0.7459165154264973,0.4637129519511483,0.7702637600867156,0.20689655172413793,0.5364238410596026,0.5612717505904152
1.0,entropy,0.5,0.2,10,0.7495462794918331,0.4708514460647961,0.7716889477698824,0.20689655172413793,0.5273972602739726,0.5739680847082166
1.0,entropy,0.5,0.5,5,0.7695099818511797,0.4487906635192465,0.7670119234011803,0.20689655172413793,0.5347985347985348,0.864234320139218
1.0,entropy,0.5,0.5,10,0.7295825771324864,0.4596133588103193,0.770986390461279,0.20689655172413793,0.526984126984127,0.7353573600623464
1.0,entropy,0.5,1.0,5,0.7277676950998185,0.4441286742621834,0.7623348990324782,0.20689655172413793,0.5283018867924528,1.0505944457089933
1.0,entropy,0.5,1.0,10,0.7277676950998185,0.4448851179094837,0.765044762937091,0.20689655172413793,0.53125,1.037156093137328
1.0,entropy,0.5,2.0,5,0.7277676950998185,0.43610465093857853,0.7563129792444498,0.20689655172413793,0.5161290322580645,1.796800609862763
1.0,entropy,0.5,2.0,10,0.7241379310344828,0.43309766573781555,0.758681601027741,0.20689655172413793,0.5279503105590062,1.6727451476950836
1.0,surprisal,0.5,0.0,5,0.7332123411978222,0.4269810655318208,0.7281705407683969,0.20689655172413793,0.48056537102473496,0.47059017950547666
1.0,surprisal,0.5,0.0,10,0.7332123411978222,0.4269810655318208,0.7281705407683969,0.20689655172413793,0.48056537102473496,0.47059017950547666
1.0,surprisal,0.5,0.02,5,0.7186932849364791,0.42615202506770683,0.7291541210004416,0.20689655172413793,0.4816053511705686,0.48047006409418674
1.0,surprisal,0.5,0.02,10,0.7404718693284936,0.4274179459508933,0.7293147055281224,0.20689655172413793,0.47619047619047616,0.5150256910473416
1.0,surprisal,0.5,0.05,5,0.7186932849364791,0.42499352883415215,0.7292745593962022,0.20689655172413793,0.4781144781144781,0.5308700729459629
1.0,surprisal,0.5,0.05,10,0.7259528130671506,0.4225907545994783,0.7286924404833595,0.20689655172413793,0.47017543859649125,0.5492171256058043
1.0,surprisal,0.5,0.1,5,0.7404718693284936,0.42286520675455874,0.7299570436388454,0.20689655172413793,0.4874551971326165,0.6543686090649833
1.0,surprisal,0.5,0.1,10,0.7459165154264973,0.4196930289831537,0.729435143923883,0.20689655172413793,0.4696969696969697,0.6686474000983139
1.0,surprisal,0.5,0.2,5,0.7422867513611615,0.41202223454202586,0.7284515636918383,0.20689655172413793,0.48175182481751827,0.8621088257379018
1.0,surprisal,0.5,0.2,10,0.7676950998185118,0.4137642162444684,0.7280099562407162,0.20689655172413793,0.47107438016528924,0.9192592169479792
1.0,surprisal,0.5,0.5,5,0.7150635208711433,0.39607605431685894,0.7223292785740094,0.20689655172413793,0.4713804713804714,1.3049518286016317
1.0,surprisal,0.5,0.5,10,0.7368421052631579,0.384968296582381,0.722670520695331,0.20689655172413793,0.4727272727272727,1.353419898761616
1.0,surprisal,0.5,1.0,5,0.6842105263157895,0.38675683928343424,0.7201212413183989,0.20689655172413793,0.4727272727272727,1.8937509719727157
1.0,surprisal,0.5,1.0,10,0.6878402903811253,0.36737661906820673,0.7166486009073025,0.20689655172413793,0.4691358024691358,1.8769603245602318
1.0,surprisal,0.5,2.0,5,0.6896551724137931,0.376346042573105,0.7166084547753824,0.20689655172413793,0.47384615384615386,3.3929734439228403
1.0,surprisal,0.5,2.0,10,0.7005444646098004,0.3575360925620086,0.7117306997470794,0.20689655172413793,0.46601941747572817,3.5038201815140027
1.5,entropy,0.5,0.0,5,0.7150635208711433,0.46235346714169884,0.7649845437392108,0.20689655172413793,0.5285285285285285,0.38235665501225585
1.5,entropy,0.5,0.0,10,0.7150635208711433,0.46235346714169884,0.7649845437392108,0.20689655172413793,0.5285285285285285,0.38235665501225585
1.5,entropy,0.5,0.02,5,0.7168784029038112,0.46251696915603957,0.7657071741137741,0.20689655172413793,0.5301204819277109,0.3882289290699327
1.5,entropy,0.5,0.02,10,0.7150635208711433,0.46368934995067557,0.7659079047733751,0.20689655172413793,0.5285285285285285,0.3868865917550246
1.5,entropy,0.5,0.05,5,0.7096188747731398,0.46253481239931404,0.7666305351479384,0.20689655172413793,0.5238095238095238,0.3937414769224492
1.5,entropy,0.5,0.05,10,0.7713248638838476,0.46486283824451713,0.7672327271267413,0.20689655172413793,0.5263157894736842,0.4887093754496954
1.5,entropy,0.5,0.1,5,0.7150635208711433,0.4666482634126589,0.7683969649524268,0.20689655172413793,0.525679758308157,0.417754101617622
1.5,entropy,0.5,0.1,10,0.7586206896551724,0.4691748775198498,0.7688184993375888,0.20689655172413793,0.5266903914590747,0.4896927687751013
1.5,entropy,0.5,0.2,5,0.7767695099818511,0.468609935504606,0.7697820065036733,0.20689655172413793,0.5287356321839081,0.5603206394422292
1.5,entropy,0.5,0.2,10,0.7622504537205081,0.4722970276607228,0.7704243446143964,0.20689655172413793,0.5304659498207885,0.5372764477975491
1.5,entropy,0.5,0.5,5,0.7531760435571688,0.45641706081017774,0.7680356497651452,0.20689655172413793,0.5374149659863946,0.6060546579184779
1.5,entropy,0.5,0.5,10,0.7604355716878403,0.47265180259234557,0.7708258059335983,0.20689655172413793,0.5285714285714286,0.635718562556046
1.5,entropy,0.5,1.0,5,0.7495462794918331,0.4451197733094723,0.7626560680878397,0.20689655172413793,0.5273972602739726,0.7966800784726096
1.5,entropy,0.5,1.0,10,0.73502722323049,0.4553710998923895,0.7659279778393352,0.20689655172413793,0.5290322580645161,0.7328048192624712
1.5,entropy,0.5,2.0,5,0.7241379310344828,0.4373269733352637,0.7541450881207595,0.20689655172413793,0.5096774193548387,1.0618739953385792
1.5,entropy,0.5,2.0,10,0.7277676950998185,0.434398153531442,0.7564735637721306,0.20689655172413793,0.5283018867924528,1.0455801561802902
1.5,surprisal,0.5,0.0,5,0.7332123411978222,0.4269810655318208,0.7281705407683969,0.20689655172413793,0.48056537102473496,0.47059017950547666
1.5,surprisal,0.5,0.0,10,0.7332123411978222,0.4269810655318208,0.7281705407683969,0.20689655172413793,0.48056537102473496,0.47059017950547666
1.5,surprisal,0.5,0.02,5,0.7186932849364791,0.426663404956585,0.7290738287366012,0.20689655172413793,0.4816053511705686,0.47241063945740835
1.5,surprisal,0.5,0.02,10,0.7096188747731398,0.42653109366420994,0.7285519290216388,0.20689655172413793,0.47368421052631576,0.4653232367179589
1.5,surprisal,0.5,0.05,5,0.7513611615245009,0.42441494020330767,0.7291942671323618,0.20689655172413793,0.4830188679245283,0.5699990729402977
1.5,surprisal,0.5,0.05,10,0.7295825771324864,0.42155403074269787,0.7283311252960777,0.20689655172413793,0.4697508896797153,0.5395130644002339
1.5,surprisal,0.5,0.1,5,0.7441016333938294,0.4193732797600954,0.7287526596812397,0.20689655172413793,0.4797047970479705,0.62753185295055
1.5,surprisal,0.5,0.1,10,0.7459165154264973,0.4177173651599536,0.7272070336023124,0.20689655172413793,0.4696969696969697,0.6356470941011673
1.5,surprisal,0.5,0.2,5,0.7495462794918331,0.4095542941152014,0.7269260106788711,0.20689655172413793,0.48120300751879697,0.7994698180597938
1.5,surprisal,0.5,0.2,10,0.7477313974591652,0.4112648936406894,0.7261030149745072,0.20689655172413793,0.4674329501915709,0.7881231928060373
1.5,surprisal,0.5,0.5,5,0.7259528130671506,0.3925504374356049,0.7211048215504436,0.20689655172413793,0.4626334519572954,1.2097478582293637
1.5,surprisal,0.5,0.5,10,0.6243194192377496,0.37956773517468223,0.7192580994821149,0.20689655172413793,0.4595300261096606,0.7062901064382685
1.5,surprisal,0.5,1.0,5,0.6388384754990926,0.3760650286370537,0.7155445822794974,0.20689655172413793,0.4636118598382749,1.175182340853738
1.5,surprisal,0.5,1.0,10,0.6642468239564429,0.36345403315439584,0.7121723071982015,0.20689655172413793,0.4574780058651026,1.4494133178153508
1.5,surprisal,0.5,2.0,5,0.6460980036297641,0.37012354023657335,0.7118912842747601,0.20689655172413793,0.4657534246575342,2.1357183708929393
1.5,surprisal,0.5,2.0,10,0.662431941923775,0.3523426669470118,0.7062106066080533,0.20689655172413793,0.45930232558139533,2.457670882955272
