ALPHA,FEATURE,FLOOR,accuracy,ap,auroc,base_rate,f1,threshold
0.02,entropy,0.0,0.6987295825771325,0.36819355304316204,0.6825444618411016,0.20689655172413793,0.4195804195804196,0.5618284356635984
0.02,entropy,0.5,0.5843920145190563,0.3791232843938723,0.7006001846722069,0.20689655172413793,0.4400977995110024,0.07900720148015672
0.02,entropy,1.0,0.7041742286751361,0.4177081807900457,0.746818419045325,0.20689655172413793,0.5105105105105106,0.02111525386786767
0.02,surprisal,0.0,0.6261343012704175,0.2966220441026719,0.6622104460235256,0.20689655172413793,0.4371584699453552,0.30959691053519367
0.02,surprisal,0.5,0.5989110707803993,0.30180930338490575,0.6645188486089365,0.20689655172413793,0.43765903307888043,0.09627973813497459
0.02,surprisal,1.0,0.5789473684210527,0.31658857499663273,0.6800955477939701,0.20689655172413793,0.4368932038834951,0.04193880783737396
0.05,entropy,0.0,0.7441016333938294,0.4429656512502017,0.7391505078485688,0.20689655172413793,0.4835164835164835,0.5396304959617684
0.05,entropy,0.5,0.7023593466424682,0.4408949350712224,0.74363683809065,0.20689655172413793,0.49693251533742333,0.1700314750756864
0.05,entropy,1.0,0.7259528130671506,0.45050736687998605,0.7590429162150227,0.20689655172413793,0.5175718849840255,0.04168853483987384
0.05,surprisal,0.0,0.647912885662432,0.3415188378264201,0.6931631137339918,0.20689655172413793,0.44571428571428573,0.38125161656698625
0.05,surprisal,0.5,0.6787658802177858,0.3356285699526649,0.6867196595608013,0.20689655172413793,0.4380952380952381,0.24061395323262275
0.05,surprisal,1.0,0.7277676950998185,0.3390279489318711,0.691938656710426,0.20689655172413793,0.4485294117647059,0.1792299994683087
0.1,entropy,0.0,0.7803992740471869,0.478871125999308,0.767573969248063,0.20689655172413793,0.5179282868525896,0.5390453054356616
0.1,entropy,0.5,0.8021778584392014,0.4818722022427045,0.7720000802922639,0.20689655172413793,0.5281385281385281,0.26265718873182775
0.1,entropy,1.0,0.7604355716878403,0.4749120169364205,0.7691998875908306,0.20689655172413793,0.5285714285714286,0.056099496545484726
0.1,surprisal,0.0,0.7731397459165155,0.4138132002574598,0.720141314384359,0.20689655172413793,0.46808510638297873,0.5965643916799475
0.1,surprisal,0.5,0.7441016333938294,0.3966694809213603,0.7048255650568068,0.20689655172413793,0.45977011494252873,0.30055723077300933
0.1,surprisal,1.0,0.7513611615245009,0.38553531137771924,0.6996868601710226,0.20689655172413793,0.47509578544061304,0.19288321640463807
0.2,entropy,0.0,0.7422867513611615,0.49806236297714446,0.7736761812999318,0.20689655172413793,0.5328947368421053,0.4136465410207236
0.2,entropy,0.5,0.8203266787658802,0.5031352701863464,0.7810329599743064,0.20689655172413793,0.5395348837209303,0.2960808533301125
0.2,entropy,1.0,0.8021778584392014,0.4854202192727305,0.7672728732586616,0.20689655172413793,0.5240174672489083,0.08206077367627998
0.2,surprisal,0.0,0.676950998185118,0.4391182776687207,0.7308804046730097,0.20689655172413793,0.463855421686747,0.2947929073919034
