ALPHA,FEATURE,FLOOR,MIN_OBS,MODE,N,accuracy,ap,auroc,base_rate,f1,threshold
0.2,entropy,0.25,2,max,3,0.6515426497277677,0.3630983186503445,0.6935244289212734,0.20689655172413793,0.4418604651162791,5.267066289110915
0.2,entropy,0.25,2,max,5,0.6098003629764065,0.3246851766775376,0.6645991408727769,0.20689655172413793,0.42048517520215634,4.846388851120652
0.2,entropy,0.25,2,max,10,0.5226860254083484,0.31543415292309784,0.6502468987113091,0.20689655172413793,0.4036281179138322,4.222375627206149
0.2,entropy,0.25,2,ewma_final,3,0.6515426497277677,0.43400372345076116,0.7415793488297403,0.20689655172413793,0.4810810810810811,0.9808524409781545
0.2,entropy,0.25,2,ewma_final,5,0.6842105263157895,0.40502517206257677,0.7328676382030591,0.20689655172413793,0.48823529411764705,1.0154160173321198
0.2,entropy,0.25,2,ewma_final,10,0.617059891107078,0.3883879950689771,0.7080974748083022,0.20689655172413793,0.4490861618798956,0.8541254909872302
0.2,entropy,0.25,2,ewma_max,3,0.6551724137931034,0.38145003260384375,0.7195391224055562,0.20689655172413793,0.483695652173913,1.5915382662460515
0.2,entropy,0.25,2,ewma_max,5,0.5843920145190563,0.34909605121711146,0.7021558472841142,0.20689655172413793,0.44552058111380144,1.5257302017743781
0.2,entropy,0.25,2,ewma_max,10,0.6606170598911071,0.3781875407930079,0.7041631538801236,0.20689655172413793,0.44510385756676557,1.8453303678651762
0.2,entropy,0.5,2,max,3,0.7459165154264973,0.38698330712156076,0.727969810108796,0.20689655172413793,0.4696969696969697,3.3654041116635858
0.2,entropy,0.5,2,max,5,0.7096188747731398,0.39248787702557025,0.7393311654422097,0.20689655172413793,0.4805194805194805,3.1659088118514553
0.2,entropy,0.5,2,max,10,0.7422867513611615,0.39910827840412555,0.7395519691677707,0.20689655172413793,0.5,3.294925740698293
0.2,entropy,0.5,2,ewma_final,3,0.7695099818511797,0.47820840703993045,0.7738769119595327,0.20689655172413793,0.5381818181818182,0.8035409214703042
0.2,entropy,0.5,2,ewma_final,5,0.7749546279491834,0.46190634558741206,0.7740575695531735,0.20689655172413793,0.5407407407407407,0.8308558387632194
0.2,entropy,0.5,2,ewma_final,10,0.7549909255898367,0.4712669686790801,0.7696214219759926,0.20689655172413793,0.5296167247386759,0.7790508482120808
0.2,entropy,0.5,2,ewma_max,3,0.6878402903811253,0.3891693957960951,0.7461560078686419,0.20689655172413793,0.5085714285714286,1.0909116489818032
0.2,entropy,0.5,2,ewma_max,5,0.7531760435571688,0.41874670225132976,0.752539242843952,0.20689655172413793,0.5211267605633803,1.3414467340663414
0.2,entropy,0.5,2,ewma_max,10,0.7404718693284936,0.4241180600642608,0.7482636797944519,0.20689655172413793,0.5085910652920962,1.4143579174583398
0.2,entropy,1.0,2,max,3,0.7259528130671506,0.4251645525067471,0.7514954434140271,0.20689655172413793,0.511326860841424,1.6803809282545792
0.2,entropy,1.0,2,max,5,0.7241379310344828,0.42857316116657523,0.7516359548757477,0.20689655172413793,0.5096774193548387,1.6827020558317929
0.2,entropy,1.0,2,max,10,0.7241379310344828,0.4225073092990392,0.7503914247862219,0.20689655172413793,0.5096774193548387,1.6827020558317929
0.2,entropy,1.0,2,ewma_final,3,0.7404718693284936,0.5001669010121926,0.7778714520855916,0.20689655172413793,0.5311475409836065,0.40130570100424023
0.2,entropy,1.0,2,ewma_final,5,0.7441016333938294,0.5003844828923654,0.7780922558111526,0.20689655172413793,0.53156146179402,0.40542924992422175
0.2,entropy,1.0,2,ewma_final,10,0.7441016333938294,0.4828942035633662,0.7767473603918262,0.20689655172413793,0.5284280936454849,0.4130017136920827
0.2,entropy,1.0,2,ewma_max,3,0.7332123411978222,0.4405962019035206,0.7551487414187643,0.20689655172413793,0.5180327868852459,0.7098036587876426
